clip_id,dasakam,verse,half,split,audio_path,text_path,text_devanagari,duration_s,sample_rate,channels,bit_depth,model_characters,characters_per_s,issues
nar_001_001_1,1,1,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.1.1.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.1.1.txt,सान्द्रानन्दावबोधात्मकमनुपमितं कालदेशावधिभ्यां निर्मुक्तं नित्यमुक्तं निगमशतसहस्रेण निर्भास्यमानम् ।,15.861088,44100,2,16,93,5.8634,
nar_001_001_2,1,1,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.1.2.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.1.2.txt,अस्पष्टं दृष्टमात्रे पुनरुरुपुरुषार्थात्मकं ब्रह्म तत्त्वं तत्तावद्भाति साक्षाद्गुरुपवनपुरे हन्त भाग्यं जनानाम् ॥,16.379501,44100,2,16,102,6.2273,
nar_001_002_1,1,2,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.2.1.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.2.1.txt,एवं दुर्लभ्यवस्तुन्यपि सुलभतया हस्तलब्धे यदन्यत् तन्वा वाचा धिया वा भजति बत जनः क्षुद्रतैव स्फुटेयम् ।,16.778776,44100,2,16,87,5.1851,
nar_001_002_2,1,2,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.2.2.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.2.2.txt,एते तावद्वयं तु स्थिरतरमनसा विश्वपीडापहत्यै निश्शेषात्मानमेनं गुरुपवनपुराधीशमेवाश्रयामः ॥,16.613379,44100,2,16,81,4.8756,
nar_001_003_1,1,3,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.3.1.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.3.1.txt,सत्त्वं यत्तत्पराभ्यामपरिकलनतो निर्मलं तेन तावत् भूतैर्भूतेन्द्रियैस्ते वपुरिति बहुशः श्रूयते व्यासवाक्यम् ।,17.109592,44100,2,16,97,5.6693,
nar_001_003_2,1,3,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.3.2.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.3.2.txt,तत्स्वच्छत्वाद्यदच्छादितपरसुखचिद्गर्भनिर्भासरूपं तस्मिन्धन्या रमन्ते श्रुतिमतिमधुरे सुग्रहे विग्रहे ते ॥,15.944898,44100,2,16,96,6.0207,
nar_001_004_1,1,4,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.4.1.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.4.1.txt,निष्कम्पे नित्यपूर्णे निरवधि परमानन्दपीयूषरूपे निर्लीनानेकमुक्तावलिसुभगतमे निर्मलब्रह्मसिन्धौ ।,15.944898,44100,2,16,88,5.519,
nar_001_004_2,1,4,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.4.2.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.4.2.txt,कल्लोलोल्लासतुल्यं खलु विमलतरं सत्त्वमाहुस्तदात्मा कस्मान्नो निष्कलस्त्वं सकल इति वचस्त्वत्कलास्वेव भूमन्! ॥,16.066644,44100,2,16,96,5.9751,
nar_001_005_1,1,5,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.5.1.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.5.1.txt,निर्व्यापारोऽपि निष्कारणमज! भजसे यत्क्रियामीक्षणाख्यां तेनैवोदेति लीना प्रकृतिरसतिकल्पापि कल्पादिकाले ।,16.20449,44100,2,16,93,5.7392,
nar_001_005_2,1,5,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.5.2.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.5.2.txt,तस्याः संशुद्धमंशं कमपि तमतिरोधायकं सत्त्वरूपं स त्वं धृत्वा दधासि स्वमहिमविभवाकुण्ठ! वैकुण्ठरूपम् ॥,16.05746,44100,2,16,87,5.418,
