clip_id,dasakam,verse,half,split,audio_path,text_path,text_devanagari,duration_s,sample_rate,channels,bit_depth,model_characters,characters_per_s,issues,decoded_frames,peak_dbfs,rms_dbfs,dc_offset,clipped_fraction,leading_silence_s,trailing_silence_s,silent_window_fraction,stereo_correlation,stereo_difference_dbfs,text_clean,text_model_kannada,slp1,syllables,line_scans_json,model_oov,analysis_issues
nar_001_001_1,1,1,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.1.1.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.1.1.txt,सान्द्रानन्दावबोधात्मकमनुपमितं कालदेशावधिभ्यां निर्मुक्तं नित्यमुक्तं निगमशतसहस्रेण निर्भास्यमानम् ।,15.861088,44100,2,16,93,5.8634,,699474,-4.511,-20.734,-1.43e-05,0.0,0.12,0.4,0.27364,1.0,-81.121,सान्द्रानन्दावबोधात्मकमनुपमितं कालदेशावधिभ्यां निर्मुक्तं नित्यमुक्तं निगमशतसहस्रेण निर्भास्यमानम् ।,ಸಾನ್ದ್ರಾನನ್ದಾವಬೋಧಾತ್ಮಕಮನುಪಮಿತಂ ಕಾಲದೇಶಾವಧಿಭ್ಯಾಂ ನಿರ್ಮುಕ್ತಂ ನಿತ್ಯಮುಕ್ತಂ ನಿಗಮಶತಸಹಸ್ರೇಣ ನಿರ್ಭಾಸ್ಯಮಾನಮ್,sAndrAnandAvaboDAtmakamanupamitaM kAladeSAvaDiByAM nirmuktaM nityamuktaM nigamaSatasahasreRa nirBAsyamAnam,42,"[{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""},{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""}]",,
nar_001_001_2,1,1,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.1.2.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.1.2.txt,अस्पष्टं दृष्टमात्रे पुनरुरुपुरुषार्थात्मकं ब्रह्म तत्त्वं तत्तावद्भाति साक्षाद्गुरुपवनपुरे हन्त भाग्यं जनानाम् ॥,16.379501,44100,2,16,102,6.2273,,722336,-6.675,-21.625,-1.17e-05,0.0,0.18,0.48,0.29218,0.999999,-81.166,अस्पष्टं दृष्टमात्रे पुनरुरुपुरुषार्थात्मकं ब्रह्म तत्त्वं तत्तावद्भाति साक्षाद्गुरुपवनपुरे हन्त भाग्यं जनानाम् ॥,ಅಸ್ಪಷ್ಟಂ ದೃಷ್ಟಮಾತ್ರೇ ಪುನರುರುಪುರುಷಾರ್ಥಾತ್ಮಕಂ ಬ್ರಹ್ಮ ತತ್ತ್ವಂ ತತ್ತಾವದ್ಭಾತಿ ಸಾಕ್ಷಾದ್ಗುರುಪವನಪುರೇ ಹನ್ತ ಭಾಗ್ಯಂ ಜನಾನಾಮ್,aspazwaM dfzwamAtre punarurupuruzArTAtmakaM brahma tattvaM tattAvadBAti sAkzAdgurupavanapure hanta BAgyaM janAnAm,42,"[{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""},{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""}]",,
nar_001_002_1,1,2,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.2.1.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.2.1.txt,एवं दुर्लभ्यवस्तुन्यपि सुलभतया हस्तलब्धे यदन्यत् तन्वा वाचा धिया वा भजति बत जनः क्षुद्रतैव स्फुटेयम् ।,16.778776,44100,2,16,87,5.1851,,739944,-7.444,-22.203,-8.2e-06,0.0,0.32,0.34,0.27566,0.999999,-81.158,एवं दुर्लभ्यवस्तुन्यपि सुलभतया हस्तलब्धे यदन्यत् तन्वा वाचा धिया वा भजति बत जनः क्षुद्रतैव स्फुटेयम् ।,ಏವಂ ದುರ್ಲಭ್ಯವಸ್ತುನ್ಯಪಿ ಸುಲಭತಯಾ ಹಸ್ತಲಬ್ಧೇ ಯದನ್ಯತ್ ತನ್ವಾ ವಾಚಾ ಧಿಯಾ ವಾ ಭಜತಿ ಬತ ಜನಃ ಕ್ಷುದ್ರತೈವ ಸ್ಫುಟೇಯಮ್,evaM durlaByavastunyapi sulaBatayA hastalabDe yadanyat tanvA vAcA DiyA vA Bajati bata janaH kzudratEva sPuweyam,42,"[{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""},{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""}]",,
nar_001_002_2,1,2,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.2.2.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.2.2.txt,एते तावद्वयं तु स्थिरतरमनसा विश्वपीडापहत्यै निश्शेषात्मानमेनं गुरुपवनपुराधीशमेवाश्रयामः ॥,16.613379,44100,2,16,81,4.8756,,732650,-7.421,-21.687,-8.3e-06,0.0,0.14,0.54,0.24217,0.999999,-81.151,एते तावद्वयं तु स्थिरतरमनसा विश्वपीडापहत्यै निश्शेषात्मानमेनं गुरुपवनपुराधीशमेवाश्रयामः ॥,ಏತೇ ತಾವದ್ವಯಂ ತು ಸ್ಥಿರತರಮನಸಾ ವಿಶ್ವಪೀಡಾಪಹತ್ಯೈ ನಿಶ್ಶೇಷಾತ್ಮಾನಮೇನಂ ಗುರುಪವನಪುರಾಧೀಶಮೇವಾಶ್ರಯಾಮಃ,ete tAvadvayaM tu sTirataramanasA viSvapIqApahatyE niSSezAtmAnamenaM gurupavanapurADISamevASrayAmaH,42,"[{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""},{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""}]",,
nar_001_003_1,1,3,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.3.1.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.3.1.txt,सत्त्वं यत्तत्पराभ्यामपरिकलनतो निर्मलं तेन तावत् भूतैर्भूतेन्द्रियैस्ते वपुरिति बहुशः श्रूयते व्यासवाक्यम् ।,17.109592,44100,2,16,97,5.6693,,754533,-7.026,-21.745,-1.13e-05,0.0,0.42,0.56,0.28421,0.999999,-81.103,सत्त्वं यत्तत्पराभ्यामपरिकलनतो निर्मलं तेन तावत् भूतैर्भूतेन्द्रियैस्ते वपुरिति बहुशः श्रूयते व्यासवाक्यम् ।,ಸತ್ತ್ವಂ ಯತ್ತತ್ಪರಾಭ್ಯಾಮಪರಿಕಲನತೋ ನಿರ್ಮಲಂ ತೇನ ತಾವತ್ ಭೂತೈರ್ಭೂತೇನ್ದ್ರಿಯೈಸ್ತೇ ವಪುರಿತಿ ಬಹುಶಃ ಶ್ರೂಯತೇ ವ್ಯಾಸವಾಕ್ಯಮ್,sattvaM yattatparAByAmaparikalanato nirmalaM tena tAvat BUtErBUtendriyEste vapuriti bahuSaH SrUyate vyAsavAkyam,42,"[{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""},{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""}]",,
nar_001_003_2,1,3,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.3.2.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.3.2.txt,तत्स्वच्छत्वाद्यदच्छादितपरसुखचिद्गर्भनिर्भासरूपं तस्मिन्धन्या रमन्ते श्रुतिमतिमधुरे सुग्रहे विग्रहे ते ॥,15.944898,44100,2,16,96,6.0207,,703170,-6.178,-21.784,-6.7e-06,0.0,0.02,0.22,0.29235,0.999999,-81.144,तत्स्वच्छत्वाद्यदच्छादितपरसुखचिद्गर्भनिर्भासरूपं तस्मिन्धन्या रमन्ते श्रुतिमतिमधुरे सुग्रहे विग्रहे ते ॥,ತತ್ಸ್ವಚ್ಛತ್ವಾದ್ಯದಚ್ಛಾದಿತಪರಸುಖಚಿದ್ಗರ್ಭನಿರ್ಭಾಸರೂಪಂ ತಸ್ಮಿನ್ಧನ್ಯಾ ರಮನ್ತೇ ಶ್ರುತಿಮತಿಮಧುರೇ ಸುಗ್ರಹೇ ವಿಗ್ರಹೇ ತೇ,tatsvacCatvAdyadacCAditaparasuKacidgarBanirBAsarUpaM tasminDanyA ramante SrutimatimaDure sugrahe vigrahe te,42,"[{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""},{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""}]",,
nar_001_004_1,1,4,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.4.1.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.4.1.txt,निष्कम्पे नित्यपूर्णे निरवधि परमानन्दपीयूषरूपे निर्लीनानेकमुक्तावलिसुभगतमे निर्मलब्रह्मसिन्धौ ।,15.944898,44100,2,16,88,5.519,,703170,-6.941,-22.005,-2.01e-05,0.0,0.02,0.42,0.22585,0.999999,-81.103,निष्कम्पे नित्यपूर्णे निरवधि परमानन्दपीयूषरूपे निर्लीनानेकमुक्तावलिसुभगतमे निर्मलब्रह्मसिन्धौ ।,ನಿಷ್ಕಮ್ಪೇ ನಿತ್ಯಪೂರ್ಣೇ ನಿರವಧಿ ಪರಮಾನನ್ದಪೀಯೂಷರೂಪೇ ನಿರ್ಲೀನಾನೇಕಮುಕ್ತಾವಲಿಸುಭಗತಮೇ ನಿರ್ಮಲಬ್ರಹ್ಮಸಿನ್ಧೌ,nizkampe nityapUrRe niravaDi paramAnandapIyUzarUpe nirlInAnekamuktAvalisuBagatame nirmalabrahmasinDO,42,"[{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""},{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""}]",,
nar_001_004_2,1,4,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.4.2.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.4.2.txt,कल्लोलोल्लासतुल्यं खलु विमलतरं सत्त्वमाहुस्तदात्मा कस्मान्नो निष्कलस्त्वं सकल इति वचस्त्वत्कलास्वेव भूमन्! ॥,16.066644,44100,2,16,96,5.9751,,708539,-7.021,-22.018,-1.17e-05,0.0,0.04,0.9,0.28394,0.999999,-81.149,कल्लोलोल्लासतुल्यं खलु विमलतरं सत्त्वमाहुस्तदात्मा कस्मान्नो निष्कलस्त्वं सकल इति वचस्त्वत्कलास्वेव भूमन्! ॥,ಕಲ್ಲೋಲೋಲ್ಲಾಸತುಲ್ಯಂ ಖಲು ವಿಮಲತರಂ ಸತ್ತ್ವಮಾಹುಸ್ತದಾತ್ಮಾ ಕಸ್ಮಾನ್ನೋ ನಿಷ್ಕಲಸ್ತ್ವಂ ಸಕಲ ಇತಿ ವಚಸ್ತ್ವತ್ಕಲಾಸ್ವೇವ ಭೂಮನ್,kallolollAsatulyaM Kalu vimalataraM sattvamAhustadAtmA kasmAnno nizkalastvaM sakala iti vacastvatkalAsveva BUman,42,"[{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""},{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""}]",,long_trailing_silence
nar_001_005_1,1,5,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.5.1.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.5.1.txt,निर्व्यापारोऽपि निष्कारणमज! भजसे यत्क्रियामीक्षणाख्यां तेनैवोदेति लीना प्रकृतिरसतिकल्पापि कल्पादिकाले ।,16.20449,44100,2,16,93,5.7392,,714618,-7.171,-21.343,-1.05e-05,0.0,0.08,0.26,0.24444,0.999999,-81.11,निर्व्यापारोऽपि निष्कारणमज! भजसे यत्क्रियामीक्षणाख्यां तेनैवोदेति लीना प्रकृतिरसतिकल्पापि कल्पादिकाले ।,ನಿರ್ವ್ಯಾಪಾರೋಽಪಿ ನಿಷ್ಕಾರಣಮಜ ಭಜಸೇ ಯತ್ಕ್ರಿಯಾಮೀಕ್ಷಣಾಖ್ಯಾಂ ತೇನೈವೋದೇತಿ ಲೀನಾ ಪ್ರಕೃತಿರಸತಿಕಲ್ಪಾಪಿ ಕಲ್ಪಾದಿಕಾಲೇ,nirvyApAropi nizkAraRamaja Bajase yatkriyAmIkzaRAKyAM tenEvodeti lInA prakftirasatikalpApi kalpAdikAle,42,"[{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""},{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""}]",,
nar_001_005_2,1,5,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.5.2.flac,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dashakam 1.5.2.txt,तस्याः संशुद्धमंशं कमपि तमतिरोधायकं सत्त्वरूपं स त्वं धृत्वा दधासि स्वमहिमविभवाकुण्ठ! वैकुण्ठरूपम् ॥,16.05746,44100,2,16,87,5.418,,708134,-6.164,-21.99,-1.2e-05,0.0,0.06,0.74,0.31421,0.999999,-81.129,तस्याः संशुद्धमंशं कमपि तमतिरोधायकं सत्त्वरूपं स त्वं धृत्वा दधासि स्वमहिमविभवाकुण्ठ! वैकुण्ठरूपम् ॥,ತಸ್ಯಾಃ ಸಂಶುದ್ಧಮಂಶಂ ಕಮಪಿ ತಮತಿರೋಧಾಯಕಂ ಸತ್ತ್ವರೂಪಂ ಸ ತ್ವಂ ಧೃತ್ವಾ ದಧಾಸಿ ಸ್ವಮಹಿಮವಿಭವಾಕುಣ್ಠ ವೈಕುಣ್ಠರೂಪಮ್,tasyAH saMSudDamaMSaM kamapi tamatiroDAyakaM sattvarUpaM sa tvaM DftvA daDAsi svamahimaviBavAkuRWa vEkuRWarUpam,42,"[{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""},{""syllables"":21,""weights"":""GGGGLGGLLLLLLGGLGGLGG"",""meter"":""sragdharā(21)""}]",,long_trailing_silence
